warehouse_id,product_name,item_sk,pick_method,efficiency
2,chair,2332,manual,70
3,chair,4323,machine,34
5,ZRVMMI,14362,manual,15
5,HVEWAJ,2633,machine,44
3,KOCTZV,10322,manual,68
1,IDDSDJ,16303,machine,30
5,BLPXEL,4722,manual,13
3,ZBUMEU,11714,machine,36
5,LVDHUX,17977,manual,22
1,ENNCGS,812,machine,75
4,MHDDVP,5184,manual,38
1,MSSAPZ,732,machine,79
3,DIGCUZ,11870,manual,87
4,GZDXSC,1003,machine,72
4,BTLKLS,10032,manual,76
1,GEHKLS,9261,machine,34
1,WZZXKV,4509,manual,11
4,OVXPJL,19630,machine,3
2,MGEOLV,17775,manual,61
5,CKZTDE,10629,machine,61
5,SGVBWB,15308,manual,92
2,NKGTPC,19351,machine,53
3,AZTIUX,1801,manual,32
2,RMKYKC,18166,machine,39
5,EISLCG,18669,manual,67
5,MPDUNZ,14360,machine,22
3,ZKFAAU,9049,manual,46
